soc_code,edu_mean,edu_p50,edu_p75,edu_p90,n_wt
111021,15.794,16,18,19,875979
112011,17.336,18,18,19,40684
112032,17.735,18,18,19,57412
112033,17.735,18,18,19,57412
113012,15.607,16,18,19,143785
113013,15.607,16,18,19,143785
113021,17.264,18,19,19,571491
113031,16.732,18,18,19,1138246
113051,15.592,16,18,19,236737
113061,16.628,18,18,19,190542
113071,14.681,14,18,18,229105
113111,16.998,18,19,19,18776
113121,16.511,18,18,19,385168
113131,17.004,18,19,19,58328
119013,14.322,14,16,18,541371
119021,15.024,14,18,18,588605
119041,17.703,18,19,19,152698
119051,14.52,14,18,18,841070
119071,14.966,14,18,18,18286
119081,15.639,16,18,18,126190
119111,16.915,18,19,19,649127
119121,17.963,18,19,19,19395
119141,15.564,16,18,19,578566
119151,17.172,18,19,19,350104
119161,16.647,18,18,19,9526
131011,16.294,18,18,19,37240
131021,14.181,14,16,18,10061
131022,15.194,14,18,18,192490
131023,15.876,16,18,18,265911
131041,16.8185,18,18,19,494496
131051,15.243,14,18,18,127483
131081,15.991,16,18,19,134637
131111,17.448,18,19,19,783863
131121,16.431,18,18,19,109504
131131,17.702,18,19,19,80979
131141,16.424,18,18,19,55322
131151,16.356,18,18,19,146751
131161,17.0285,18,18.5,19,804127
131082,16.6925,18,18,19,816546
131199,16.81,18,18,19,276006
474011,15.9305,16,18,18.5,362671
132011,17.518,18,18,19,1845493
132022,16.241,18,18,19,90212
132023,16.241,18,18,19,90212
132031,17.243,18,19,19,45854
132041,16.559,18,18,19,27167
132051,17.4065,18,18.5,19,261530
132054,17.4065,18,18.5,19,261530
132052,17.562,18,19,19,350045
132053,16.517,18,18,19,108205
132061,17.758,18,19,19,12317
132081,15.727,16,18,19,60217
132082,16.361,18,18,19,95588
132099,16.863,18,18,19,51569
151221,18.112,18,19,19,18955
151211,17.272,18,19,19,459679
151212,16.985,18,18,19,63823
151251,17.214,18,18,19,412785
151254,17.006,18,18,19,175191
151255,16.7905,18,18,19,715731
151242,17.247,18,18,19,109573
151243,16.911,18,18,19,650113
151244,16.436,18,18,19,198830
151241,16.594,18,18,19,105777
151299,15.853,16,18,18.5,625313
151253,16.575,18,18,19,540540
152051,16.575,18,18,19,540540
152011,18.383,18,19,19,24576
152031,17.182,18,19,19,134732
172011,17.811,18,19,19,111892
172041,17.873,18,19,19,60780
172051,17.689,18,19,19,324471
172061,17.45,18,19,19,50945
172081,17.684,18,19,19,29088
172121,17.363,18,18,19,11347
172131,17.106,18,18,19,39838
172141,17.433,18,18,19,231347
173031,14.049,14,16,16,56655
191029,18.415,18,19,19,69864
192021,17.827,18,19,19,9458
192099,18.297,18,19,19,211144
193011,18.545,19,19,19,20945
193051,17.938,18,19,19,21376
194012,14.9,14,18,18,31730
194013,14.9,14,18,18,31730
194021,15.655,16,18,18,19077
194031,15.389,16,18,18,64086
211092,17.242,18,18,19,82667
211093,15.83,16,18,19,168781
212011,17.309,18,19,19,421933
212021,16.954,18,19,19,68564
212099,16.41,18,18,19,60649
231012,19.175,20,20,20,19478
232011,16.149,16,18,18,375363
254022,18.094,19,19,19,155796
254031,15.101,14,18,19,33452
259042,14.674,14,18,18,880817
259043,14.674,14,18,18,880817
259049,14.674,14,18,18,880817
272011,16.631,18,18,19,36910
272012,17.188,18,18,19,143935
272091,15.371,14,18,18,36222
272099,15.371,14,18,18,36222
273031,17.547,18,18,19,119062
273041,17.552,18,18,19,169777
273042,17.373,18,19,19,52104
273043,17.676,18,19,19,217025
274021,16.157,18,18,18,147043
291011,18.932,20,20,20,53635
291031,17.183,18,19,19,84334
291041,19.462,20,20,20,37485
291051,18.569,18,20,20,281851
291071,18.592,19,19,20,92627
291081,19.69,20,20,20,7984
291122,18.293,19,19,19,105793
291123,18.339,18,19,20,230394
291124,17.135,18,18,19,16129
291125,17.104,18,18,19,9296
291129,17.104,18,18,19,9296
291126,16.33,16,18,18,99048
291127,18.767,19,19,19,143986
291131,19.488,20,20,20,73995
291141,17.15,18,18,19,2961436
291151,18.891,19,19,19,28292
291181,18.404,18,19,20,16174
291299,18.217,19,19,20,27012
291291,18.217,19,19,20,27012
291292,16.589,16,18,18,171541
292042,15.094,14,16,18,171037
292043,15.094,14,16,18,171037
292061,14.192,14,14,16,754857
292072,15.064,14,16,18,167590
299021,15.064,14,16,18,167590
292081,14.959,14,16,18,50118
319011,15.046,14,18,18,162941
319091,14.435,14,16,18,255833
319092,14.579,14,16,18,436048
319094,14.941,14,16,18,42299
319095,14.529,14,16,18,34687
319096,15.011,14,18,18,35619
319097,14.392,14,16,18,104171
331011,14.939,14,16,18,58582
331012,16.028,16,18,19,99512
331021,15.445,16,18,18,46208
331091,15.424,14,18,19,70649
331099,15.424,14,18,19,70649
332011,15.158,14,16,18,259460
333021,16.478,18,18,19,125325
333051,16.478,18,18,19,125325
339011,14.33,14,14,18,9278
339021,16.757,18,18,19,81122
339091,13.214,12.5,14,16,62349
339093,14.831,14,18,18,31460
351011,13.704,14,16,18,379419
351012,13.891,14,16,18,413538
352021,12.725,12.5,14,16,547137
353011,14.43,14,16,18,339961
353023,13.049,12.5,14,17,257668
353031,13.826,14,16,18,1194893
353041,13.435,13,14,18,118318
359021,11.495,12.5,14,14,194541
359031,13.839,14,14,18,81239
371011,13.602,13,14,18,224799
371012,13.747,14,16,18,148847
372012,12.08,12.5,14,14,1445549
372021,13.753,13,14,18,67573
391014,14.812,14,18,18,76919
391022,14.812,14,18,18,76919
531044,14.812,14,18,18,76919
119179,14.812,14,18,18,76919
392011,14.945,14,18,18,31959
392021,14.253,14,16,18,161063
393021,16.015,16,18,19,1754
