skill_name,louvain,leiden,walktrap,domain,lou_lei,lou_wlk,lei_wlk,all3,base_lou,base_lei,base_wlk
Active Learning,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Active Listening,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Administration and Management,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Analyzing Data or Information,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Arm-Hand Steadiness,Physical,Physical,Physical,Physical,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Assisting and Caring for Others,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Auditory Attention,Physical,Physical,Physical,Physical,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biology,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Building and Construction,Physical,Physical,Physical,Physical,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Category Flexibility,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Chemistry,Physical,Physical,Physical,Physical,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Clerical,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Coaching and Developing Others,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Communicating with Persons Outside Organization,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Communicating with Supervisors, Peers, or Subordinates",Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Communications and Media,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Complex Problem Solving,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Computers and Electronics,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Control Precision,Physical,Physical,Physical,Physical,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Controlling Machines and Processes,Physical,Physical,Physical,Physical,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Coordinating the Work and Activities of Others,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Coordination,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Critical Thinking,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Customer and Personal Service,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Deductive Reasoning,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Depth Perception,Physical,Physical,Physical,Physical,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Design,Physical,Physical,Physical,Physical,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Developing Objectives and Strategies,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Developing and Building Teams,Cognitive,Cognitive,Cognitive,Cognitive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
