coef,estimate,std_error,panel,flow,model
b_up_SC_Scaffolding,0.0231112880616837,0.0413980053617487,Panel A,adoption,AIOE control
b_dn_SC_Scaffolding,-0.01850965411669,0.0511397170378417,Panel A,adoption,AIOE control
b_up_SC_Specialized,-0.0280747007174252,0.0463835211171177,Panel A,adoption,AIOE control
b_dn_SC_Specialized,0.0438448295233673,0.0594452377013998,Panel A,adoption,AIOE control
b_up_Physical_Terminal,-0.194692849161184,0.0495198076422744,Panel A,adoption,AIOE control
b_dn_Physical_Terminal,-0.0696126868097692,0.0566646128089494,Panel A,adoption,AIOE control
b_up_SC_Scaffolding,0.133254689238278,0.0381810764027516,Panel A,adoption,GPT control
b_dn_SC_Scaffolding,0.0592470695209716,0.0477879959079735,Panel A,adoption,GPT control
b_up_SC_Specialized,0.107920510734324,0.0478668447253681,Panel A,adoption,GPT control
b_dn_SC_Specialized,0.115854292710905,0.0547896237645234,Panel A,adoption,GPT control
b_up_Physical_Terminal,-0.302461813340868,0.0462672190809157,Panel A,adoption,GPT control
b_dn_Physical_Terminal,-0.0991808128822844,0.0480586221668396,Panel A,adoption,GPT control
b_up_SC_Scaffolding,0.00357913096761449,0.0427235113802893,Panel A,adoption,Both controls
b_dn_SC_Scaffolding,-0.0289765896017471,0.0531016826697832,Panel A,adoption,Both controls
b_up_SC_Specialized,-0.024907788418692,0.0505826258489076,Panel A,adoption,Both controls
b_dn_SC_Specialized,0.0351229546006975,0.0618705139467416,Panel A,adoption,Both controls
b_up_Physical_Terminal,-0.20189308165502,0.0485274922961929,Panel A,adoption,Both controls
b_dn_Physical_Terminal,-0.0886235526848091,0.058423691763244,Panel A,adoption,Both controls
b_up_SC_Scaffolding,0.0689912841395137,0.0214626085366808,Panel B,adoption,AIOE control
b_dn_SC_Scaffolding,-0.0186248645808916,0.0248570685262798,Panel B,adoption,AIOE control
b_up_SC_Specialized,0.0107703459570996,0.0299920925988658,Panel B,adoption,AIOE control
b_dn_SC_Specialized,0.0424485974344569,0.0332500633755572,Panel B,adoption,AIOE control
b_up_Physical_Terminal,-0.148511102121623,0.0379016028795538,Panel B,adoption,AIOE control
b_dn_Physical_Terminal,-0.0406164785445625,0.03824932088756,Panel B,adoption,AIOE control
b_up_SC_Scaffolding,0.115813853669568,0.0280815860946086,Panel B,adoption,GPT control
b_dn_SC_Scaffolding,-0.0104587186471831,0.0215969287150649,Panel B,adoption,GPT control
b_up_SC_Specialized,0.0916862632803301,0.0370764431767395,Panel B,adoption,GPT control
b_dn_SC_Specialized,0.0443444974299775,0.0298030672751586,Panel B,adoption,GPT control
b_up_Physical_Terminal,-0.306631734226896,0.0417696178470432,Panel B,adoption,GPT control
b_dn_Physical_Terminal,-0.134918339512824,0.0374106354172692,Panel B,adoption,GPT control
b_up_SC_Scaffolding,0.0533226119113974,0.0221625776254899,Panel B,adoption,Both controls
b_dn_SC_Scaffolding,-0.0203105319407825,0.02553074717645,Panel B,adoption,Both controls
b_up_SC_Specialized,0.025534380233627,0.0312063943242002,Panel B,adoption,Both controls
b_dn_SC_Specialized,0.0412425008439509,0.0347380466160709,Panel B,adoption,Both controls
b_up_Physical_Terminal,-0.151259772956137,0.0379157217890188,Panel B,adoption,Both controls
b_dn_Physical_Terminal,-0.0487907630413764,0.0389964756007467,Panel B,adoption,Both controls
b_up_SC_Scaffolding,-0.173742256260727,0.0457086843263209,Panel A,abandonment,AIOE control
b_dn_SC_Scaffolding,-0.150959079259106,0.0423177905926032,Panel A,abandonment,AIOE control
b_up_SC_Specialized,-0.104794933488959,0.0501081132354141,Panel A,abandonment,AIOE control
b_dn_SC_Specialized,-0.131735444813663,0.046642431761688,Panel A,abandonment,AIOE control
b_up_Physical_Terminal,-0.0688321496462978,0.0518150771698507,Panel A,abandonment,AIOE control
b_dn_Physical_Terminal,-0.105585614416809,0.0425815610040171,Panel A,abandonment,AIOE control
b_up_SC_Scaffolding,-0.286076560940379,0.0395168962505129,Panel A,abandonment,GPT control
b_dn_SC_Scaffolding,-0.222588850474542,0.0362125512212389,Panel A,abandonment,GPT control
b_up_SC_Specialized,-0.242489928142969,0.048336109937198,Panel A,abandonment,GPT control
b_dn_SC_Specialized,-0.217929039374363,0.0391766403273933,Panel A,abandonment,GPT control
b_up_Physical_Terminal,0.0255419580205859,0.0529549515004768,Panel A,abandonment,GPT control
b_dn_Physical_Terminal,-0.108543751917409,0.036808327000641,Panel A,abandonment,GPT control
b_up_SC_Scaffolding,-0.213198991557549,0.0454092527535392,Panel A,abandonment,Both controls
