flow,panel,coef,est_42,est_123,est_999,mean_est,sd_est,cv,stable
adoption,Panel A,b_up_SC_Scaffolding,0.196796910388816,0.192896604630232,0.192732467946668,0.194141994321905,0.00230068896300151,0.0118505476933896,TRUE
adoption,Panel A,b_dn_SC_Scaffolding,0.126021669968374,0.128425945857457,0.125243612943471,0.126563742923101,0.0016589734808141,0.0131078098869285,TRUE
adoption,Panel A,b_up_SC_Specialized,0.261006427560872,0.254354857556271,0.240424936133414,0.251928740416852,0.0105030462545528,0.0416905440688269,TRUE
adoption,Panel A,b_dn_SC_Specialized,0.223098294913066,0.224931235386822,0.223142146182596,0.223723892160828,0.00104581976577,0.00467460026584106,TRUE
adoption,Panel A,b_up_Physical_Terminal,-0.332705344926997,-0.333596682060552,-0.335136792173488,-0.333812939720346,0.00123006481930103,0.00368489256387582,TRUE
adoption,Panel A,b_dn_Physical_Terminal,-0.0914919278684739,-0.0823919304551752,-0.0797794345851315,-0.0845544309695936,0.00614840882539779,0.0727153947450585,TRUE
adoption,Panel B,b_up_SC_Scaffolding,0.153100930034985,0.154965198533108,0.156928364246394,0.154998164271496,0.00191393004459319,0.0123480820149633,TRUE
adoption,Panel B,b_dn_SC_Scaffolding,-0.00294950581179787,0.00106808508487715,0.00487934166710288,0.000999306980060721,0.00391487688602711,3.91759185529678,TRUE
adoption,Panel B,b_up_SC_Specialized,0.197037834168915,0.196213042164432,0.185941407328457,0.193064094553934,0.0061821982697624,0.032021481177254,TRUE
adoption,Panel B,b_dn_SC_Specialized,0.102389399691351,0.106584441575032,0.110462596347314,0.106478812537899,0.00403763472612097,0.0379196070080502,TRUE
adoption,Panel B,b_up_Physical_Terminal,-0.325464533697387,-0.324314893760662,-0.32074692967562,-0.323508785711223,0.00245993995192456,0.00760393553614462,TRUE
adoption,Panel B,b_dn_Physical_Terminal,-0.176368932816453,-0.163483038253741,-0.156045876507846,-0.165299282526013,0.0102825440370137,0.0622056180757804,TRUE
abandonment,Panel A,b_up_SC_Scaffolding,-0.250181461833524,-0.245461526947608,-0.250383354519473,-0.248675447766868,0.00278516703960749,0.0112000081416102,TRUE
abandonment,Panel A,b_dn_SC_Scaffolding,-0.235810544824064,-0.239011307228709,-0.238581883800188,-0.23780124528432,0.00173731613763568,0.00730574869596881,TRUE
abandonment,Panel A,b_up_SC_Specialized,-0.273616906927292,-0.271296845768488,-0.2661084405383,-0.270340731078027,0.00384446138680585,0.0142207996977571,TRUE
abandonment,Panel A,b_dn_SC_Specialized,-0.280837797530108,-0.282815466031963,-0.2836747823659,-0.28244268197599,0.00145476688988942,0.00515066235638241,TRUE
abandonment,Panel A,b_up_Physical_Terminal,0.100832720139819,0.103811789378055,0.091359089490397,0.09866786633609,0.00650249010892406,0.0659028146689094,TRUE
abandonment,Panel A,b_dn_Physical_Terminal,-0.0282235284522761,-0.0179559521554096,-0.0236004089841209,-0.0232599631972688,0.00514224739324476,0.221077193873143,TRUE
abandonment,Panel B,b_up_SC_Scaffolding,-0.0881081980960966,-0.0849585078917722,-0.0853638666936725,-0.0861435242271804,0.00171348664948724,0.0198910674349517,TRUE
abandonment,Panel B,b_dn_SC_Scaffolding,-0.0459667891039059,-0.0512511231577434,-0.048782739787803,-0.0486668840164841,0.00264407139047859,0.0543299914081823,TRUE
abandonment,Panel B,b_up_SC_Specialized,-0.101458727873865,-0.0981177359845113,-0.0894417114442397,-0.0963393917675385,0.00620274552782867,0.0643843127305136,TRUE
abandonment,Panel B,b_dn_SC_Specialized,-0.0905041717120053,-0.0941158815113694,-0.0930261664050512,-0.092548739876142,0.00185258305794515,0.0200173774426801,TRUE
abandonment,Panel B,b_up_Physical_Terminal,0.215070190638637,0.214929872976431,0.207292736527077,0.212430933380715,0.00445036205736462,0.0209496893250888,TRUE
abandonment,Panel B,b_dn_Physical_Terminal,0.154030417309123,0.163610640346291,0.164990378172976,0.16087714527613,0.00596943732760862,0.0371055647299227,TRUE
