gap_bin,gap_mid,atc_archetype,rate,ci_lo,ci_hi,n,threshold,flow
4,-1.30164794064186,SC_Specialized,0.182031708749266,0.180063401628287,0.184147014013426,126022,0.9,Abandonment
5,-0.57205401518073,SC_Specialized,0.163622059199039,0.161841188121545,0.165575806930249,144901,0.9,Abandonment
3,-2.06803862642912,SC_Specialized,0.199313085717089,0.196884107747412,0.2015070408714,101905,0.9,Abandonment
2,-2.88282979680337,SC_Specialized,0.236334560961427,0.233923725528203,0.239090969664664,82544,0.9,Abandonment
6,0.126166102556859,SC_Specialized,0.162584605900258,0.160802423549659,0.164473549016838,155722,0.9,Abandonment
1,-4.68844749231167,SC_Specialized,0.285241276056662,0.282101520211908,0.288411983185535,69464,0.9,Abandonment
8,1.68512074777628,SC_Specialized,0.115714135768454,0.114044418641266,0.117170484662416,152436,0.9,Abandonment
7,0.861759087300788,SC_Specialized,0.130929147221044,0.1291985877932,0.132411509788472,164990,0.9,Abandonment
9,2.60985316263842,SC_Specialized,0.100319483980377,0.0989639482769063,0.101909711707347,132088,0.9,Abandonment
10,4.58359589402531,SC_Specialized,0.105374018901169,0.103539964760532,0.106960595867371,124860,0.9,Abandonment
4,-1.30164794064186,SC_Scaffolding,0.203184053238991,0.200834002197511,0.205297014657866,128327,0.9,Abandonment
5,-0.57205401518073,SC_Scaffolding,0.203066451004178,0.201097856854023,0.205324504650222,148380,0.9,Abandonment
3,-2.06803862642912,SC_Scaffolding,0.219508801869818,0.217069042274945,0.222037832272904,107818,0.9,Abandonment
2,-2.88282979680337,SC_Scaffolding,0.256910058184261,0.254228110474251,0.259646722936734,92293,0.9,Abandonment
1,-4.68844749231167,SC_Scaffolding,0.290282178775848,0.287569667973398,0.29335320566612,79843,0.9,Abandonment
6,0.126166102556859,SC_Scaffolding,0.200092483298246,0.198296968738211,0.201907163804958,164354,0.9,Abandonment
8,1.68512074777628,SC_Scaffolding,0.144930633946284,0.143187298364204,0.146928122474334,149713,0.9,Abandonment
7,0.861759087300788,SC_Scaffolding,0.163647958423477,0.161987966886588,0.165594026950836,167787,0.9,Abandonment
9,2.60985316263842,SC_Scaffolding,0.129102285787256,0.127370293028462,0.130909019207223,133127,0.9,Abandonment
10,4.58359589402531,SC_Scaffolding,0.125539037044184,0.123839353971989,0.127309416541108,134731,0.9,Abandonment
3,-2.06803862642912,Physical_Terminal,0.0909271984862066,0.0897161410942409,0.0921820535803207,220902,0.9,Abandonment
1,-4.68844749231167,Physical_Terminal,0.0826349537727408,0.0811567998807039,0.0842014613778706,134120,0.9,Abandonment
4,-1.30164794064186,Physical_Terminal,0.117303352117746,0.115983366332978,0.118609953431271,216669,0.9,Abandonment
5,-0.57205401518073,Physical_Terminal,0.159674307762143,0.157883709714026,0.161399795733091,176240,0.9,Abandonment
7,0.861759087300788,Physical_Terminal,0.219220860332579,0.217089156062144,0.221635568740729,128090,0.9,Abandonment
2,-2.88282979680337,Physical_Terminal,0.0822274091363788,0.0810599687075179,0.0833589401595404,194935,0.9,Abandonment
6,0.126166102556859,Physical_Terminal,0.189504795755032,0.1875127613718,0.191371422089462,158682,0.9,Abandonment
8,1.68512074777628,Physical_Terminal,0.266882204425759,0.263871625558361,0.269761689876961,87533,0.9,Abandonment
9,2.60985316263842,Physical_Terminal,0.283356984317578,0.279707910344577,0.287323072444784,54966,0.9,Abandonment
10,4.58359589402531,Physical_Terminal,0.295230125523013,0.290822873082287,0.299540446304045,35850,0.9,Abandonment
4,-1.30164794064186,SC_Specialized,0.211597386830086,0.208518818292189,0.214301612996473,69188,1,Abandonment
5,-0.57205401518073,SC_Specialized,0.190328520205446,0.187456391123171,0.192594364764028,82552,1,Abandonment
3,-2.06803862642912,SC_Specialized,0.241009330753166,0.237292357212653,0.244841262238231,52193,1,Abandonment
2,-2.88282979680337,SC_Specialized,0.292336103416436,0.287241788682232,0.296902783273974,37905,1,Abandonment
6,0.126166102556859,SC_Specialized,0.183691562759295,0.181139533297719,0.186176530763023,87979,1,Abandonment
1,-4.68844749231167,SC_Specialized,0.364160272804774,0.358583972719523,0.369892583120205,29325,1,Abandonment
8,1.68512074777628,SC_Specialized,0.15458419548724,0.152058700364568,0.156930793674254,81192,1,Abandonment
7,0.861759087300788,SC_Specialized,0.160590381787484,0.158226676106966,0.163134088557268,91805,1,Abandonment
9,2.60985316263842,SC_Specialized,0.150241946849993,0.147681146937689,0.153021986626368,63857,1,Abandonment
10,4.58359589402531,SC_Specialized,0.169142235010499,0.16625466599269,0.172011334473909,51436,1,Abandonment
4,-1.30164794064186,SC_Scaffolding,0.290669382674136,0.28728038533356,0.293739036949018,70692,1,Abandonment
5,-0.57205401518073,SC_Scaffolding,0.274289634256418,0.271092837972825,0.277672070380667,83091,1,Abandonment
3,-2.06803862642912,SC_Scaffolding,0.32418295938244,0.320257827718058,0.328241108145155,55444,1,Abandonment
2,-2.88282979680337,SC_Scaffolding,0.383962091383573,0.379394629612673,0.388437986448127,43684,1,Abandonment
1,-4.68844749231167,SC_Scaffolding,0.455060155697098,0.44994283847787,0.460451031629376,36738,1,Abandonment
6,0.126166102556859,SC_Scaffolding,0.264474226574424,0.261671568463621,0.26730250771476,89763,1,Abandonment
8,1.68512074777628,SC_Scaffolding,0.213060023813415,0.210223425863236,0.215818411038218,85666,1,Abandonment
7,0.861759087300788,SC_Scaffolding,0.232024890252738,0.229254038273026,0.234729947150833,93852,1,Abandonment
9,2.60985316263842,SC_Scaffolding,0.201372773785892,0.198443747029385,0.204128106914195,71534,1,Abandonment
10,4.58359589402531,SC_Scaffolding,0.202309000242902,0.199371669024247,0.205474230928601,69987,1,Abandonment
5,-0.57205401518073,Physical_Terminal,0.179578195228766,0.177545042449387,0.181488417655872,130155,1,Abandonment
7,0.861759087300788,Physical_Terminal,0.237845192287251,0.235109164735645,0.240250111609516,94078,1,Abandonment
6,0.126166102556859,Physical_Terminal,0.206662351813467,0.204540427170467,0.209047264028052,122059,1,Abandonment
8,1.68512074777628,Physical_Terminal,0.296757335756946,0.293184400155804,0.300369628018696,61616,1,Abandonment
4,-1.30164794064186,Physical_Terminal,0.136696134282133,0.135117748877556,0.138334538123313,150787,1,Abandonment
9,2.60985316263842,Physical_Terminal,0.325155744434249,0.320615009417105,0.329311343989955,41414,1,Abandonment
3,-2.06803862642912,Physical_Terminal,0.119311106079475,0.11757755009623,0.121256934223933,141328,1,Abandonment
2,-2.88282979680337,Physical_Terminal,0.133286234643227,0.131483104109514,0.135130882366434,108991,1,Abandonment
1,-4.68844749231167,Physical_Terminal,0.165186829448761,0.162478804414848,0.168054784807005,64872,1,Abandonment
