focal_quintile,atc_archetype,obs,model,symmetric,null,n,flow,panel
1,SC_General,0.161236268851238,0.170438401004171,0.22073673848478,0.20262151598381,5371,Adoption,Panel A
2,SC_General,0.149679673849738,0.185207513737345,0.205855444546672,0.204177189023388,5151,Adoption,Panel A
3,SC_General,0.225395326882228,0.215755264247237,0.201686833121997,0.213195085354773,4237,Adoption,Panel A
4,SC_General,0.297590770274856,0.256577108442507,0.207588393602834,0.224543587442382,2947,Adoption,Panel A
5,SC_General,0.339890210430009,0.307540563574977,0.228614643454992,0.231914742407398,2186,Adoption,Panel A
1,SC_Specialized,0.0891440148573358,0.113477799416641,0.170831115423204,0.147959994866723,5923,Adoption,Panel A
2,SC_Specialized,0.099834528405957,0.131700429501388,0.152578885642433,0.150424182809773,5439,Adoption,Panel A
3,SC_Specialized,0.206411258795934,0.170073385154453,0.14796537066238,0.164086301113295,3837,Adoption,Panel A
4,SC_Specialized,0.300042140750105,0.229286241062914,0.156812301267544,0.184095470499957,2373,Adoption,Panel A
5,SC_Specialized,0.306231454005935,0.30022674897246,0.183639186439222,0.1958538132,1685,Adoption,Panel A
1,Physical_Terminal,0.330919931856899,0.222642463048812,0.161825403212799,0.145769381212333,2348,Adoption,Panel A
2,Physical_Terminal,0.265592151366503,0.199602596177262,0.166923169453617,0.143793127879141,2854,Adoption,Panel A
3,Physical_Terminal,0.169008430349257,0.158953786495241,0.153088604358912,0.138370329673603,4982,Adoption,Panel A
4,Physical_Terminal,0.0832613079804091,0.120230337486149,0.132663759752983,0.134020711367709,6942,Adoption,Panel A
5,Physical_Terminal,0.0579474342928661,0.0874872580723946,0.109886873653271,0.130865529412474,7990,Adoption,Panel A
1,SC_General,0.480392156862745,0.434457727874229,0.240422182452866,0.279219794741245,1938,Abandonment,Panel A
2,SC_General,0.393711872360394,0.369942712978219,0.262374661446735,0.272777171957254,2131,Abandonment,Panel A
3,SC_General,0.288036410923277,0.284909631738691,0.273615441435958,0.25958728630707,3076,Abandonment,Panel A
4,SC_General,0.182661837935718,0.213849880974206,0.267741315434377,0.249279201842678,4418,Abandonment,Panel A
5,SC_General,0.158705701078582,0.160921074252354,0.238332566582297,0.243598093335458,5192,Abandonment,Panel A
