flow,panel,archetype,term,estimate,se,sig
adoption,Aggregate (target+skill FE),SC_Specialized,beta_up,-1.696077612579,0.343073522995732,***
adoption,Aggregate (target+skill FE),SC_Specialized,beta_down,,,""
adoption,Aggregate (target+skill FE),SC_General,beta_up,-1.38253013777755,0.288829584758832,***
adoption,Aggregate (target+skill FE),SC_General,beta_down,-0.207340298064348,0.135674468406819,ns
adoption,Aggregate (target+skill FE),Physical_Terminal,beta_up,-1.22132864843677,0.22748250679123,***
adoption,Aggregate (target+skill FE),Physical_Terminal,beta_down,0.25960420596206,0.177954623988684,ns
abandonment,Aggregate (target+skill FE),SC_Specialized,beta_up,-106.956379158535,40.8166021929826,**
abandonment,Aggregate (target+skill FE),SC_Specialized,beta_down,-108.805333185092,40.856962519817,**
abandonment,Aggregate (target+skill FE),SC_General,beta_up,-107.184582229964,40.846671932303,**
abandonment,Aggregate (target+skill FE),SC_General,beta_down,-108.756852029548,40.8509725944761,**
abandonment,Aggregate (target+skill FE),Physical_Terminal,beta_up,-107.610876753345,40.8462791723806,**
abandonment,Aggregate (target+skill FE),Physical_Terminal,beta_down,-109.082746762747,40.8722552742714,**
