flow,panel,model,archetype,term,estimate,se,sig
adoption,Panel A,Weighted (1/n_js),SC_Specialized,b_up,0.228736888644592,0.0421831925000135,***
adoption,Panel A,Weighted (1/n_js),SC_Specialized,b_dn,0.202712286522237,0.0508297713037572,***
adoption,Panel A,Weighted (1/n_js),SC_General,b_up,0.18856383600887,0.0331557022631925,***
adoption,Panel A,Weighted (1/n_js),SC_General,b_dn,0.107099074512449,0.0454483924539247,*
adoption,Panel A,Weighted (1/n_js),Physical_Terminal,b_up,-0.326895820055438,0.0481649718301417,***
adoption,Panel A,Weighted (1/n_js),Physical_Terminal,b_dn,-0.0845032256037844,0.0413655487207944,*
adoption,Panel B,Weighted (1/n_js),SC_Specialized,b_up,0.177036708889956,0.037719896543652,***
adoption,Panel B,Weighted (1/n_js),SC_Specialized,b_dn,0.105385929296317,0.0314818704507232,***
adoption,Panel B,Weighted (1/n_js),SC_General,b_up,0.153378922056468,0.0297165710742519,***
adoption,Panel B,Weighted (1/n_js),SC_General,b_dn,0.000530543416768883,0.0221878397954757,ns
adoption,Panel B,Weighted (1/n_js),Physical_Terminal,b_up,-0.309686500879028,0.0417925643082914,***
adoption,Panel B,Weighted (1/n_js),Physical_Terminal,b_dn,-0.157463110040916,0.0322523260191442,***
abandonment,Panel A,Weighted (1/n_js),SC_Specialized,b_up,-0.252609971359494,0.0422800803072094,***
abandonment,Panel A,Weighted (1/n_js),SC_Specialized,b_dn,-0.282445357782136,0.0323992343370663,***
abandonment,Panel A,Weighted (1/n_js),SC_General,b_up,-0.248485836377482,0.0346256218655815,***
abandonment,Panel A,Weighted (1/n_js),SC_General,b_dn,-0.22898302295593,0.0306098991729441,***
abandonment,Panel A,Weighted (1/n_js),Physical_Terminal,b_up,0.0893683906482593,0.0419007440534517,*
abandonment,Panel A,Weighted (1/n_js),Physical_Terminal,b_dn,-0.00935746160890714,0.0381645161951499,ns
abandonment,Panel B,Weighted (1/n_js),SC_Specialized,b_up,-0.092049909060118,0.0334660379381001,**
abandonment,Panel B,Weighted (1/n_js),SC_Specialized,b_dn,-0.0957263172020223,0.0230543669366078,***
abandonment,Panel B,Weighted (1/n_js),SC_General,b_up,-0.0967087291107021,0.0256037018616634,***
abandonment,Panel B,Weighted (1/n_js),SC_General,b_dn,-0.0430408715003968,0.0170419378198304,*
abandonment,Panel B,Weighted (1/n_js),Physical_Terminal,b_up,0.199743133091699,0.0406144186705086,***
abandonment,Panel B,Weighted (1/n_js),Physical_Terminal,b_dn,0.168794037158604,0.0332373362708495,***
