outcome,skill_class,term,estimate,se,n
diffusion,Physical_Terminal,delta_up,-0.426762414458446,0.0540014035790597,8468420
diffusion,Physical_Terminal,delta_down,-0.41712472523849,0.0692993671329005,8468420
diffusion,Physical_Terminal,boundary,0.0656981185180001,0.0285200014752447,8468420
diffusion,Physical_Terminal,structural_distance,-1.42051419935326,0.219693381633781,8468420
diffusion,SC_General,delta_up,0.254764320844294,0.0405612005938947,6610716
diffusion,SC_General,delta_down,0.16811890105188,0.0565210406527068,6610716
diffusion,SC_General,boundary,-0.0219614873790774,0.0185275959236872,6610716
diffusion,SC_General,structural_distance,-0.907174894494651,0.163712471929094,6610716
diffusion,SC_Specialized,delta_up,0.357615834393933,0.0552255416123181,6466954
diffusion,SC_Specialized,delta_down,0.369622582456129,0.0670637600612015,6466954
diffusion,SC_Specialized,boundary,-0.0815258943149227,0.0259206718759964,6466954
diffusion,SC_Specialized,structural_distance,-1.51365599862492,0.237249522450425,6466954
diffusion_fixed_denom,Physical_Terminal,delta_up,-0.391088101044464,0.0534118843583748,8468420
diffusion_fixed_denom,Physical_Terminal,delta_down,-0.366097587893285,0.0789337963405165,8468420
diffusion_fixed_denom,Physical_Terminal,boundary,0.0655625384964806,0.029414133683692,8468420
diffusion_fixed_denom,Physical_Terminal,structural_distance,-1.33103479409543,0.225831628328001,8468420
diffusion_fixed_denom,SC_General,delta_up,0.24437269131669,0.037107657178477,6610716
diffusion_fixed_denom,SC_General,delta_down,0.140071036930762,0.0535283891565734,6610716
diffusion_fixed_denom,SC_General,boundary,-0.0164407013464527,0.0182516476555363,6610716
diffusion_fixed_denom,SC_General,structural_distance,-0.904513874665527,0.145038381304284,6610716
diffusion_fixed_denom,SC_Specialized,delta_up,0.327200710560661,0.0541953416637196,6466954
diffusion_fixed_denom,SC_Specialized,delta_down,0.355052543164258,0.0659951871349953,6466954
diffusion_fixed_denom,SC_Specialized,boundary,-0.0667854367272554,0.0263725352325561,6466954
diffusion_fixed_denom,SC_Specialized,structural_distance,-1.39140250359099,0.248381824366359,6466954
delta_importance,Physical_Terminal,delta_up,-0.026612750393654,0.00662253970193257,8468420
delta_importance,Physical_Terminal,delta_down,-0.0473019388497763,0.00894578059627639,8468420
delta_importance,Physical_Terminal,boundary,-0.0190631145304813,0.00591362648926845,8468420
delta_importance,Physical_Terminal,structural_distance,-0.0871741855444047,0.0268805494736483,8468420
delta_importance,SC_General,delta_up,0.0125773091379433,0.00656857983153999,6610716
delta_importance,SC_General,delta_down,-0.015857055530001,0.00900631308911911,6610716
delta_importance,SC_General,boundary,0.00148064617740228,0.00227097833377688,6610716
delta_importance,SC_General,structural_distance,-0.158922427750209,0.0320279170551823,6610716
delta_importance,SC_Specialized,delta_up,0.0154830749762527,0.00722830942074202,6466954
delta_importance,SC_Specialized,delta_down,-0.00616982141823808,0.00889319226892126,6466954
delta_importance,SC_Specialized,boundary,0.00241308361813782,0.00373967756395586,6466954
delta_importance,SC_Specialized,structural_distance,-0.192978034591829,0.0373647466436025,6466954
