gap_bin,gap_mid,atc_archetype,rate,ci_lo,ci_hi,n,threshold,flow
4,-1.30164794064186,SC_Specialized,0.158978747682214,0.158316711102334,0.159749212775529,911430,0.9,Adoption
5,-0.57205401518073,SC_Specialized,0.154280715481306,0.153582828573178,0.155004181977235,963659,0.9,Adoption
3,-2.06803862642912,SC_Specialized,0.159597453465667,0.158712052645836,0.160419145994369,778941,0.9,Adoption
1,-4.68844749231167,SC_Specialized,0.126710001455161,0.125860457580563,0.127436869274055,666593,0.9,Adoption
2,-2.88282979680337,SC_Specialized,0.14478480759499,0.143877099576676,0.145671909989788,660014,0.9,Adoption
6,0.126166102556859,SC_Specialized,0.148988659142708,0.14826907762858,0.149734684350715,910425,0.9,Adoption
7,0.861759087300788,SC_Specialized,0.149502256006103,0.148695146674123,0.150307219096886,815379,0.9,Adoption
8,1.68512074777628,SC_Specialized,0.146448507317237,0.145640715724944,0.147251706794507,713179,0.9,Adoption
9,2.60985316263842,SC_Specialized,0.128826222758572,0.127986530134166,0.129644219848087,563480,0.9,Adoption
10,4.58359589402531,SC_Specialized,0.089055883204647,0.0880794108624036,0.0900020356613462,348781,0.9,Adoption
4,-1.30164794064186,SC_General,0.198867688169565,0.198015878395783,0.199847377868401,737606,0.9,Adoption
5,-0.57205401518073,SC_General,0.190035870572818,0.189191867871227,0.190871507138085,818777,0.9,Adoption
3,-2.06803862642912,SC_General,0.208277650673561,0.207203918297226,0.2093285042908,605365,0.9,Adoption
6,0.126166102556859,SC_General,0.185911805877283,0.185006370212066,0.186760949541444,802956,0.9,Adoption
2,-2.88282979680337,SC_General,0.203114973804979,0.202150225399017,0.204253797262722,492460,0.9,Adoption
1,-4.68844749231167,SC_General,0.185630347939606,0.184607781671042,0.186678074917042,484883,0.9,Adoption
7,0.861759087300788,SC_General,0.186273173115474,0.185524607071167,0.187159937525564,740783,0.9,Adoption
8,1.68512074777628,SC_General,0.178042709671573,0.177202313355286,0.179057031486361,684201,0.9,Adoption
9,2.60985316263842,SC_General,0.155379726469621,0.154468306411075,0.156327020647839,574927,0.9,Adoption
10,4.58359589402531,SC_General,0.121270287586345,0.120289272383462,0.122301105782076,385519,0.9,Adoption
7,0.861759087300788,Physical_Terminal,0.174807977756375,0.174214175553936,0.175419446487825,1450483,0.9,Adoption
5,-0.57205401518073,Physical_Terminal,0.214448664660074,0.213577349386078,0.21534112082557,837240,0.9,Adoption
6,0.126166102556859,Physical_Terminal,0.195162952166233,0.19440814509528,0.195904520944326,1114192,0.9,Adoption
4,-1.30164794064186,Physical_Terminal,0.23519999715547,0.234154365554159,0.236257895794184,562483,0.9,Adoption
3,-2.06803862642912,Physical_Terminal,0.265337977864985,0.263806237782383,0.266885738642209,340185,0.9,Adoption
2,-2.88282979680337,Physical_Terminal,0.298847082845688,0.296942403944321,0.300884484175403,200795,0.9,Adoption
1,-4.68844749231167,Physical_Terminal,0.313904797819102,0.311272164478698,0.31654666226716,127287,0.9,Adoption
10,4.58359589402531,Physical_Terminal,0.0460499626865155,0.0457730998621455,0.0463219103765639,2166777,0.9,Adoption
8,1.68512074777628,Physical_Terminal,0.131689098860091,0.131219435092424,0.132110319416414,1975509,0.9,Adoption
9,2.60985316263842,Physical_Terminal,0.081076874366431,0.0807276520321656,0.0814538118791246,2255082,0.9,Adoption
4,-1.30164794064186,SC_Specialized,0.101847031752475,0.101210034498047,0.102473500610062,854831,1,Adoption
5,-0.57205401518073,SC_Specialized,0.110818313582542,0.110153108763381,0.111482495148576,830684,1,Adoption
3,-2.06803862642912,SC_Specialized,0.0872583231636595,0.0866989805952537,0.0878136945164446,793208,1,Adoption
1,-4.68844749231167,SC_Specialized,0.0484144911939566,0.0479414960867146,0.0488789677188486,760103,1,Adoption
2,-2.88282979680337,SC_Specialized,0.0620526210635821,0.0614828006696475,0.0626161721242017,725755,1,Adoption
6,0.126166102556859,SC_Specialized,0.111269518084463,0.110548831717813,0.11192566898879,722471,1,Adoption
7,0.861759087300788,SC_Specialized,0.11589457883306,0.115143710254599,0.116742806346891,614222,1,Adoption
8,1.68512074777628,SC_Specialized,0.11649437751088,0.115609439340484,0.117518544698632,478169,1,Adoption
