skill_name,mean_shift,se_shift,ci_lo,ci_hi,n_events,archetype,domain,zone
Analyzing Data or Information,-1.40874263696355,0.0104736735811618,-1.42927103718263,-1.38821423674447,22579,SC_Specialized,Cognitive,downward
Category Flexibility,-0.377127512538009,0.0127501615739568,-0.402117829222964,-0.352137195853054,25323,SC_Scaffolding,Cognitive,downward
"Communicating with Supervisors, Peers, or Subordinates",-0.507872586235352,0.0116933931040883,-0.530791636719366,-0.484953535751339,30295,SC_Scaffolding,Cognitive,downward
Deductive Reasoning,-0.648104633119042,0.00928752803505019,-0.666308188067741,-0.629901078170344,22555,SC_Scaffolding,Cognitive,downward
Establishing and Maintaining Interpersonal Relationships,-0.721544079290558,0.0111499412141863,-0.743397964070363,-0.699690194510753,28755,SC_Specialized,Cognitive,downward
Getting Information,-1.00812030075188,0.0108977540646176,-1.02947989871853,-0.986760702785229,33250,SC_Specialized,Cognitive,downward
Information Ordering,-0.107046070460705,0.0113411995708294,-0.12927482161953,-0.0848173193018791,30258,SC_Scaffolding,Cognitive,lateral
Learning Strategies,-0.463348765432099,0.0107062924347088,-0.484333098604128,-0.442364432260069,20736,SC_Scaffolding,Cognitive,downward
Making Decisions and Solving Problems,-1.04483416845622,0.00869353102321455,-1.06187348926172,-1.02779484765072,41910,SC_Scaffolding,Cognitive,downward
Mathematics,-0.280144730891,0.0133891923963525,-0.306387547987851,-0.253901913794149,22110,SC_Scaffolding,Cognitive,downward
Number Facility,0.386786750483559,0.0148019088955017,0.357775009048376,0.415798491918742,16544,SC_Scaffolding,Cognitive,upward
Oral Comprehension,-0.239626844890003,0.0113256130826458,-0.261825046531989,-0.217428643248017,21546,SC_Specialized,Cognitive,lateral
Oral Expression,-0.194411648957104,0.0111004817353974,-0.216168593158482,-0.172654704755725,20328,SC_Specialized,Cognitive,lateral
"Organizing, Planning, and Prioritizing Work",-1.04734584450402,0.0095691230009791,-1.06610132558594,-1.0285903634221,37300,SC_Specialized,Cognitive,downward
Problem Sensitivity,-0.0475537810619153,0.0100790869786421,-0.0673087915400537,-0.0277987705837768,33562,SC_Scaffolding,Cognitive,lateral
Service Orientation,0.322136222910217,0.0138008972808219,0.295086464239806,0.349185981580628,19380,SC_Specialized,Cognitive,upward
Speech Clarity,-0.33764495985727,0.0121894429487055,-0.361536268036733,-0.313753651677808,20178,SC_Specialized,Cognitive,downward
Speech Recognition,0.259056164838817,0.0118964054392596,0.235739210177868,0.282373119499766,24072,SC_Scaffolding,Cognitive,upward
Time Sharing,-0.0897170634426025,0.00959691544349453,-0.108527017711852,-0.0709071091733533,40115,SC_Scaffolding,Cognitive,lateral
Geography,-0.743589743589744,0.0122667068477838,-0.7676324890114,-0.719546998168087,22932,SC_Specialized,Cognitive,downward
"Guiding, Directing, and Motivating Subordinates",-0.663056624518967,0.0107592204027744,-0.684144696508404,-0.641968552529529,36380,SC_Scaffolding,Cognitive,downward
Monitoring,0.0854203330174631,0.0112169846280203,0.0634350431465434,0.107405622888383,29548,SC_Scaffolding,Cognitive,lateral
Perceptual Speed,0.322227052540057,0.0109983490213419,0.300670288458227,0.343783816621887,32204,Physical_Terminal,Physical,upward
Philosophy and Theology,-0.923655913978495,0.0146948605418036,-0.95245784064043,-0.89485398731656,16740,SC_Scaffolding,Cognitive,downward
Programming,0.371751412429379,0.0105325281320182,0.351107657290623,0.392395167568134,26550,SC_Scaffolding,Cognitive,upward
Staffing Organizational Units,-0.606785398881366,0.0102063922444846,-0.626789927680556,-0.586780870082176,40764,SC_Scaffolding,Cognitive,downward
Law and Government,-0.786369497144962,0.0109454832927204,-0.807822644398694,-0.76491634989123,27145,SC_Scaffolding,Cognitive,downward
Inductive Reasoning,-0.720553359683794,0.00996540143711298,-0.740085546500536,-0.701021172867053,22770,SC_Scaffolding,Cognitive,downward
Reading Comprehension,-0.495771670190275,0.0108120070415195,-0.516963203991653,-0.474580136388897,15136,SC_Specialized,Cognitive,downward
Coaching and Developing Others,-0.475235109717868,0.0109854061929849,-0.496766505856119,-0.453703713579618,35090,SC_Scaffolding,Cognitive,downward
Public Safety and Security,0.243164123326067,0.0107730784235955,0.222048889615819,0.264279357036314,32110,Physical_Terminal,Physical,lateral
Building and Construction,0.380896071475496,0.0149819193877049,0.351531509475594,0.410260633475398,15222,Physical_Terminal,Physical,upward
Psychology,-0.773432819563205,0.0131646467274986,-0.799235527149102,-0.747630111977307,18361,SC_Scaffolding,Cognitive,downward
Therapy and Counseling,-0.775980392156863,0.0171209018726575,-0.809537359827271,-0.742423424486454,12240,SC_Scaffolding,Cognitive,downward
Active Learning,-0.769199009083402,0.0118050856306588,-0.792336976919493,-0.746061041247311,14532,SC_Specialized,Cognitive,downward
Flexibility of Closure,-0.0553950953678474,0.0101930010596422,-0.0753733774447461,-0.0354168132909487,36700,Physical_Terminal,Physical,lateral
Mathematical Reasoning,0.0544724770642202,0.0144901434534668,0.0260717958954252,0.0828731582330152,15696,SC_Scaffolding,Cognitive,lateral
Speaking,-0.058517140579325,0.0112020987092106,-0.0804732540493779,-0.0365610271092721,18815,SC_Specialized,Cognitive,lateral
Speed of Closure,0.277611840118133,0.0107349844283568,0.256571270638553,0.298652409597712,29797,SC_Scaffolding,Cognitive,upward
Visualization,0.754184600669536,0.0141319157205549,0.726486045857249,0.781883155481824,18819,Physical_Terminal,Physical,upward
Technology Design,0.487827426810478,0.00952400832520931,0.469160370493067,0.506494483127888,38940,Physical_Terminal,Physical,upward
Economics and Accounting,-0.491825247922809,0.0124809741178484,-0.516287957193792,-0.467362538651826,26117,SC_Specialized,Cognitive,downward
Judgment and Decision Making,-0.989278752436647,0.0123626122779758,-1.01350947250148,-0.965048032371815,18468,SC_Specialized,Cognitive,downward
Memorization,-0.211406784936197,0.0114209956038649,-0.233791936319772,-0.189021633552622,25704,SC_Scaffolding,Cognitive,lateral
Written Comprehension,-0.745447187373533,0.0098108404725396,-0.764676434699711,-0.726217940047355,19768,SC_Specialized,Cognitive,downward
Written Expression,-0.471185064935065,0.0109656187262277,-0.492677677638471,-0.449692452231659,14784,SC_Specialized,Cognitive,downward
Complex Problem Solving,-0.856180195919386,0.0117669398057309,-0.879243397938619,-0.833116993900154,16027,SC_Specialized,Cognitive,downward
Customer and Personal Service,-0.120038259206121,0.0125305887243769,-0.1445982131059,-0.0954783053063427,25092,SC_Specialized,Cognitive,lateral
Thinking Creatively,-1.13869329577946,0.0118111891343275,-1.16184322648274,-1.11554336507617,23433,SC_Scaffolding,Cognitive,downward
Fluency of Ideas,-0.46921071106208,0.0111657856530087,-0.491095650941977,-0.447325771182183,19942,SC_Specialized,Cognitive,downward
