skill_name,community,participation_coeff,weighted_degree,boundary_role
Design,Physical-Sensory,0.5,66.8246,Connector (boundary-spanning)
Transportation,Physical-Sensory,0.5,65.6616,Connector (boundary-spanning)
Far Vision,Physical-Sensory,0.4998,73.3283,Connector (boundary-spanning)
Physics,Physical-Sensory,0.4998,65.9892,Connector (boundary-spanning)
Engineering and Technology,Physical-Sensory,0.4997,66.6678,Connector (boundary-spanning)
Dynamic Flexibility,Physical-Sensory,0.4994,65.1428,Connector (boundary-spanning)
Chemistry,Physical-Sensory,0.4981,68.2651,Connector (boundary-spanning)
Public Safety and Security,Physical-Sensory,0.4977,71.9072,Connector (boundary-spanning)
Production and Processing,Physical-Sensory,0.4975,68.2761,Connector (boundary-spanning)
Visualization,Physical-Sensory,0.497,72.4484,Connector (boundary-spanning)
Perceptual Speed,Physical-Sensory,0.4968,76.438,Connector (boundary-spanning)
Visual Color Discrimination,Physical-Sensory,0.4961,74.3677,Connector (boundary-spanning)
Explosive Strength,Physical-Sensory,0.4959,60.2566,Connector (boundary-spanning)
Finger Dexterity,Physical-Sensory,0.4942,74.0262,Connector (boundary-spanning)
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",Physical-Sensory,0.4937,65.8961,Connector (boundary-spanning)
Quality Control Analysis,Physical-Sensory,0.4906,75.9584,Connector (boundary-spanning)
Hearing Sensitivity,Physical-Sensory,0.4904,71.075,Connector (boundary-spanning)
Auditory Attention,Physical-Sensory,0.4902,69.8695,Connector (boundary-spanning)
Building and Construction,Physical-Sensory,0.49,60.0401,Connector (boundary-spanning)
Stamina,Physical-Sensory,0.4888,74.869,Connector (boundary-spanning)
"Monitor Processes, Materials, or Surroundings",Physical-Sensory,0.4887,76.0492,Connector (boundary-spanning)
Repairing and Maintaining Electronic Equipment,Physical-Sensory,0.488,65.5873,Connector (boundary-spanning)
Food Production,Physical-Sensory,0.4873,56.2324,Connector (boundary-spanning)
Gross Body Coordination,Physical-Sensory,0.4867,73.8763,Connector (boundary-spanning)
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Physical-Sensory,0.4864,73.7367,Connector (boundary-spanning)
Technology Design,Physical-Sensory,0.4856,71.4031,Connector (boundary-spanning)
"Inspecting Equipment, Structures, or Material",Physical-Sensory,0.4852,75.5028,Connector (boundary-spanning)
Dynamic Strength,Physical-Sensory,0.4841,73.6115,Connector (boundary-spanning)
Trunk Strength,Physical-Sensory,0.4828,72.1518,Connector (boundary-spanning)
Gross Body Equilibrium,Physical-Sensory,0.4827,70.4923,Connector (boundary-spanning)
Performing General Physical Activities,Physical-Sensory,0.4808,72.4857,Connector (boundary-spanning)
Arm-Hand Steadiness,Physical-Sensory,0.4807,75.2203,Connector (boundary-spanning)
Static Strength,Physical-Sensory,0.4795,72.709,Connector (boundary-spanning)
Handling and Moving Objects,Physical-Sensory,0.479,72.7031,Connector (boundary-spanning)
Manual Dexterity,Physical-Sensory,0.477,73.9904,Connector (boundary-spanning)
Flexibility of Closure,Physical-Sensory,0.4768,76.5075,Connector (boundary-spanning)
Speed of Limb Movement,Physical-Sensory,0.4768,69.9524,Connector (boundary-spanning)
Multilimb Coordination,Physical-Sensory,0.476,74.0187,Connector (boundary-spanning)
Extent Flexibility,Physical-Sensory,0.4751,71.2861,Connector (boundary-spanning)
Installation,Physical-Sensory,0.473,53.6436,Connector (boundary-spanning)
Wrist-Finger Speed,Physical-Sensory,0.4721,70.1356,Connector (boundary-spanning)
Spatial Orientation,Physical-Sensory,0.4702,64.1421,Connector (boundary-spanning)
Troubleshooting,Physical-Sensory,0.4702,70.1994,Connector (boundary-spanning)
Response Orientation,Physical-Sensory,0.4696,70.8882,Connector (boundary-spanning)
Depth Perception,Physical-Sensory,0.4687,70.5705,Connector (boundary-spanning)
Mechanical,Physical-Sensory,0.4686,66.2585,Connector (boundary-spanning)
Selective Attention,Physical-Sensory,0.468,75.0376,Connector (boundary-spanning)
Sound Localization,Physical-Sensory,0.4677,63.8622,Connector (boundary-spanning)
Control Precision,Physical-Sensory,0.467,71.2164,Connector (boundary-spanning)
Operation Monitoring,Physical-Sensory,0.4669,69.8726,Connector (boundary-spanning)
Management of Material Resources,Physical-Sensory,0.466,74.9088,Connector (boundary-spanning)
Night Vision,Physical-Sensory,0.4629,62.5536,Connector (boundary-spanning)
"Operating Vehicles, Mechanized Devices, or Equipment",Physical-Sensory,0.4628,63.7982,Connector (boundary-spanning)
Peripheral Vision,Physical-Sensory,0.461,62.331,Connector (boundary-spanning)
Glare Sensitivity,Physical-Sensory,0.4608,63.6669,Connector (boundary-spanning)
Controlling Machines and Processes,Physical-Sensory,0.4588,67.4741,Connector (boundary-spanning)
Operation and Control,Physical-Sensory,0.458,69.3201,Connector (boundary-spanning)
Equipment Selection,Physical-Sensory,0.4579,63.8258,Connector (boundary-spanning)
Reaction Time,Physical-Sensory,0.4515,66.6354,Connector (boundary-spanning)
Rate Control,Physical-Sensory,0.4494,66.8554,Connector (boundary-spanning)
Equipment Maintenance,Physical-Sensory,0.4484,63.0014,Connector (boundary-spanning)
Repairing and Maintaining Mechanical Equipment,Physical-Sensory,0.4415,63.5608,Connector (boundary-spanning)
Repairing,Physical-Sensory,0.4389,60.2877,Connector (boundary-spanning)
Near Vision,Sociocognitive,0.4646,75.8034,Connector (boundary-spanning)
Speed of Closure,Sociocognitive,0.4592,76.6718,Connector (boundary-spanning)
Evaluating Information to Determine Compliance with Standards,Sociocognitive,0.4536,77.1867,Connector (boundary-spanning)
Time Sharing,Sociocognitive,0.4529,76.0617,Connector (boundary-spanning)
"Identifying Objects, Actions, and Events",Sociocognitive,0.4487,76.7032,Connector (boundary-spanning)
Telecommunications,Sociocognitive,0.4473,70.4749,Connector (boundary-spanning)
Sales and Marketing,Sociocognitive,0.4443,70.2143,Connector (boundary-spanning)
Mathematics,Sociocognitive,0.4421,73.1551,Connector (boundary-spanning)
Management of Financial Resources,Sociocognitive,0.4409,71.6166,Connector (boundary-spanning)
Biology,Sociocognitive,0.4408,61.3398,Connector (boundary-spanning)
Training and Teaching Others,Sociocognitive,0.4393,74.7686,Connector (boundary-spanning)
Number Facility,Sociocognitive,0.4387,76.2063,Connector (boundary-spanning)
Programming,Sociocognitive,0.4357,69.0667,Connector (boundary-spanning)
"Judging the Qualities of Things, Services, or People",Sociocognitive,0.4338,75.5638,Connector (boundary-spanning)
Geography,Sociocognitive,0.4325,66.6149,Connector (boundary-spanning)
Assisting and Caring for Others,Sociocognitive,0.4298,70.139,Connector (boundary-spanning)
Monitoring and Controlling Resources,Sociocognitive,0.4296,75.1248,Connector (boundary-spanning)
Science,Sociocognitive,0.4292,68.1067,Connector (boundary-spanning)
Customer and Personal Service,Sociocognitive,0.4291,77.0694,Connector (boundary-spanning)
Medicine and Dentistry,Sociocognitive,0.4289,60.7709,Connector (boundary-spanning)
Performing for or Working Directly with the Public,Sociocognitive,0.4254,77.5958,Connector (boundary-spanning)
Coordinating the Work and Activities of Others,Sociocognitive,0.4231,79.5381,Connector (boundary-spanning)
Fine Arts,Sociocognitive,0.4187,58.8778,Connector (boundary-spanning)
Education and Training,Sociocognitive,0.4163,72.0735,Connector (boundary-spanning)
Foreign Language,Sociocognitive,0.4163,73.8087,Connector (boundary-spanning)
